row_id,vehicle_id,latitude,longitude,distance_from_prev_point,worker_id
170,1201369,32.05372,34.94349,7.5479145555727944,4
176,1201369,32.05832,34.94312,513.2581403322175,4
181,1201369,32.06303,34.94282,525.0781316162348,4
184,1201369,32.06648,34.94373,393.53000202207795,4
185,1201369,32.06849,34.94459,238.0058155469211,4
189,1201369,32.06844,34.94455,6.7244505527742975,4
191,1201369,32.0711,34.94543,307.5257950984567,4
193,1201369,32.07393,34.94689,343.8220954223514,4
196,1201369,32.08074,34.95117,858.8801293163566,4
200,1201369,32.08281,34.95226,252.32568810905403,4
201,1201369,32.08372,34.95245,102.87363020238098,4
202,1201369,32.0838,34.95241,9.671731237008775,4
204,1201369,32.08382,34.95239,2.9180742889201565,4
206,1201369,32.08382,34.9523,8.488609399143716,4
207,1201369,32.08511,34.95152,161.34975087474217,4
208,1201369,32.08529,34.95127,30.943115254714602,4
209,1201369,32.08554,34.95085,48.41154054733261,4
212,1201369,32.08703,34.94756,351.8466414945091,4
221,1201369,32.09404,34.93918,1110.6576321334915,4
223,1201369,32.09623,34.93584,398.30581719419587,4
224,1201369,32.09668,34.93543,63.28006733681675,4
225,1201369,32.097,34.93522,40.75707961596335,4
227,1201369,32.09913,34.93521,237.11239068770396,4
232,1201369,32.10566,34.93626,733.6286337570731,4
239,1201369,32.10555,34.93628,12.389519755026537,4
240,1201369,32.1056,34.9363,5.876795334884585,4
245,1201369,32.11222,34.93777,749.8571534152535,4
246,1201369,32.11263,34.93809,54.71257705236013,4
249,1201369,32.11427,34.93985,246.71350717461507,4
254,1201369,32.11443,34.94033,48.636129345491184,4
255,1201369,32.11451,34.94042,12.301102928120663,4
85,1249503,32.09092,34.80581,12962.293410515544,4
86,1249503,32.09094,34.80589,7.866477956239144,4
87,1249503,32.09094,34.80591,1.8862106745545908,4
89,1249503,32.0909,34.80595,5.8359588354130265,4
91,1249503,32.08972,34.80603,131.57350287305414,4
92,1249503,32.08969,34.806,4.3769934463134605,4
93,1249503,32.08967,34.80598,2.917995963547438,4
95,1249503,32.08983,34.80545,53.0637310105023,4
96,1249503,32.08978,34.80532,13.464786093268659,4
97,1249503,32.08963,34.80524,18.323396065431254,4
98,1249503,32.08908,34.8049,69.11458579176622,4
100,1249503,32.08886,34.80436,56.511197761809974,4
104,1249503,32.08884,34.80434,2.9180070398893605,4
109,1249503,32.089,34.80413,26.636435803432708,4
110,1249503,32.08903,34.80403,10.005065799788836,4
111,1249503,32.08901,34.80396,6.967178729976512,4
112,1249503,32.08897,34.80393,5.275662728138806,4
133,1249503,32.08843,34.80399,60.37828543122797,4
136,1249503,32.08791,34.80394,58.077897603287546,4
138,1249503,32.08753,34.80362,51.964099218381286,4
140,1249503,32.08694,34.80454,108.82353131608332,4
141,1249503,32.08686,34.80453,8.955362199467839,4
148,1249503,32.08652,34.80435,41.48163945261661,4
150,1249503,32.08686,34.80454,41.87647355262678,4
151,1249503,32.08688,34.80448,6.081100274573489,4
152,1249503,32.08693,34.80439,10.150453067603532,4
153,1249503,32.08733,34.80363,84.38366469869364,4
156,1249503,32.08753,34.80381,27.997934733677532,4
157,1249503,32.08789,34.80409,47.99357501361555,4
162,1249503,32.08831,34.80413,46.906139986315935,4
163,1249503,32.08848,34.80392,27.393391822040368,4
164,1249503,32.08849,34.80383,8.560860720380925,4
168,1249503,32.08945,34.80155,240.1240008908662,4
169,1249503,32.08947,34.80151,4.380460647148982,4
175,1249503,32.09058,34.79868,294.11667876798253,4
177,1249503,32.09063,34.79848,19.666259238906534,4
178,1249503,32.09062,34.79842,5.767108467332859,4
180,1249503,32.08972,34.79816,103.14465705401344,4
182,1249503,32.08911,34.79838,71.00409177181731,4
183,1249503,32.08887,34.79874,43.203637163431765,4
186,1249503,32.08875,34.79907,33.868848494751276,4
188,1249503,32.08868,34.79914,10.213030943058062,4
190,1249503,32.08856,34.79919,14.166246474105966,4
192,1249503,32.08838,34.79925,20.821229265859376,4
194,1249503,32.08816,34.79926,24.508441499324174,4
197,1249503,32.0874,34.79904,87.11003627732714,4
203,1249503,32.08697,34.79884,51.44992206682874,4
211,1249503,32.08551,34.79826,171.4854480146658,4
214,1249503,32.08503,34.79808,56.06550009500213,4
216,1249503,32.08497,34.79803,8.176208626377457,4
217,1249503,32.08477,34.79798,22.757862541244975,4
220,1249503,32.08389,34.79781,99.26467070413312,4
229,1249503,32.08229,34.79775,178.20106603479408,4
230,1249503,32.08198,34.79771,34.71466398051397,4
234,1249503,32.08153,34.7976,51.156922149384876,4
236,1249503,32.08133,34.79762,22.34367231431134,4
237,1249503,32.08128,34.7976,5.87695614840075,4
238,1249503,32.08123,34.79757,6.2439409491785085,4
242,1249503,32.08022,34.79702,123.82362292446255,4
243,1249503,32.07945,34.79646,100.68376178933279,4
248,1249503,32.07801,34.795,211.3306527730816,4
250,1249503,32.07739,34.79425,98.83364283960161,4
253,1249503,32.07422,34.79297,372.9662162700181,4
